storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP081989,GORDON,1989,9,2164022.0039277077,0.0140016021621941,3,0.015625,5,0.0211864406779661,2164022.0039277077,3,5,10,0.0490884424990165,0.1020408163265306,0.088235294117647,0.0681985636986896,91
WP031979,CECIL,1979,14,2508779.3378691673,0.0162322426194472,3,0.015625,4,0.0169491525423728,2508779.3378691673,3,4,20,0.0569088807998208,0.0816326530612244,0.088235294117647,0.0677887858628456,92
WP111971,GILDA,1971,7,3384417.577397868,0.0218977757081276,2,0.0104166666666666,2,0.0084745762711864,3384417.577397868,2,2,9,0.076771764491867,0.0408163265306122,0.0588235294117647,0.0650906697395379,93
WP152012,TEMBIN,2012,14,4008819.4451709986,0.0259377653782985,1,0.0052083333333333,1,0.0042372881355932,4008819.4451709986,1,1,24,0.0909356293355831,0.0204081632653061,0.0294117647058823,0.0640751831235587,94
WP321996,ABEL:BETH,1996,7,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,6,0.0254237288135593,2117531.6196603477,1,6,15,0.0480338596201347,0.1224489795918367,0.0294117647058823,0.0638443253759224,95
WP041967,VIOLET,1967,5,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,6,0.0254237288135593,2117531.6196603477,1,6,17,0.0480338596201347,0.1224489795918367,0.0294117647058823,0.0638443253759224,96
WP101987,CARY,1987,17,2454927.51186049,0.0158838118539038,3,0.015625,3,0.0127118644067796,2454927.51186049,3,3,19,0.0556873117678535,0.0612244897959183,0.088235294117647,0.0619538036273387,97
WP141956,GILDA,1956,8,2327941.2650969625,0.0150621885506167,1,0.0052083333333333,5,0.0211864406779661,2327941.2650969625,1,5,17,0.0528067693976264,0.1020408163265306,0.0294117647058823,0.0616060304260908,98
WP071976,RUBY,1976,3,2327941.2650969625,0.0150621885506167,1,0.0052083333333333,5,0.0211864406779661,2327941.2650969625,1,5,31,0.0528067693976264,0.1020408163265306,0.0294117647058823,0.0616060304260908,99
WP311972,THERESE,1972,9,2378055.566427946,0.015386436875541,2,0.0104166666666666,4,0.0169491525423728,2378055.566427946,2,4,19,0.0539435568215988,0.0816326530612244,0.0588235294117647,0.0615978267700301,100
WP202011,NESAT,2011,8,726656.9216594696,0.0047015978150934,2,0.0104166666666666,8,0.0338983050847457,726656.9216594696,2,8,10,0.0164834074933855,0.1632653061224489,0.0588235294117647,0.0595299004384082,101
WP061957,WENDY,1957,7,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,5,0.0211864406779661,2117531.6196603477,1,5,12,0.0480338596201347,0.1020408163265306,0.0294117647058823,0.0587422845595958,102
WP141955,KATE,1955,10,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,5,0.0211864406779661,2117531.6196603477,1,5,11,0.0480338596201347,0.1020408163265306,0.0294117647058823,0.0587422845595958,103
WP061951,LOUISE,1951,7,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,5,0.0211864406779661,2117531.6196603477,1,5,13,0.0480338596201347,0.1020408163265306,0.0294117647058823,0.0587422845595958,104
WP141957,GLORIA,1957,5,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,4,0.0169491525423728,2117531.6196603477,1,4,10,0.0480338596201347,0.0816326530612244,0.0294117647058823,0.0536402437432693,105
WP291967,CARLA,1967,7,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,4,0.0169491525423728,2117531.6196603477,1,4,12,0.0480338596201347,0.0816326530612244,0.0294117647058823,0.0536402437432693,106
WP071986,PEGGY,1986,11,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,4,0.0169491525423728,2117531.6196603477,1,4,14,0.0480338596201347,0.0816326530612244,0.0294117647058823,0.0536402437432693,107
WP251991,RUTH,1991,12,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,4,0.0169491525423728,2117531.6196603477,1,4,19,0.0480338596201347,0.0816326530612244,0.0294117647058823,0.0536402437432693,108
WP301993,IRA,1993,9,597024.6035888493,0.0038628539660505,1,0.0052083333333333,8,0.0338983050847457,597024.6035888493,1,8,13,0.0135428419260881,0.1632653061224489,0.0294117647058823,0.0533537963921474,109
WP061972,ORA,1972,7,2002189.3104424477,0.0129545162328901,1,0.0052083333333333,4,0.0169491525423728,2002189.3104424477,1,4,8,0.0454174470774387,0.0816326530612244,0.0294117647058823,0.0520703962176517,110
WP341994,TERESA,1994,11,108820.66070079803,0.0007040887733092,1,0.0052083333333333,9,0.0381355932203389,108820.66070079803,1,9,13,0.0024684761688285,0.1836734693877551,0.0294117647058823,0.0518112177541182,111
WP141970,GEORGIA,1970,6,830506.3956403732,0.0053735221378565,1,0.0052083333333333,7,0.0296610169491525,830506.3956403732,1,7,14,0.0188391177970757,0.1428571428571428,0.0294117647058823,0.0514295210984134,112
WP271986,MARGE,1986,8,1441926.0728600023,0.0093295147567063,1,0.0052083333333333,5,0.0211864406779661,1441926.0728600023,1,5,10,0.032708496025896,0.1020408163265306,0.0294117647058823,0.0495470664030526,113
WP101963,CARMEN,1963,11,597024.6035888493,0.0038628539660505,1,0.0052083333333333,7,0.0296610169491525,597024.6035888493,1,7,13,0.0135428419260881,0.1428571428571428,0.0294117647058823,0.0482517555758209,114
WP151971,JEAN,1971,5,2327941.2650969625,0.0150621885506167,1,0.0052083333333333,2,0.0084745762711864,2327941.2650969625,1,2,9,0.0528067693976264,0.0408163265306122,0.0294117647058823,0.0462999079771112,115
WP061995,GARY,1995,6,2327941.2650969625,0.0150621885506167,1,0.0052083333333333,2,0.0084745762711864,2327941.2650969625,1,2,19,0.0528067693976264,0.0408163265306122,0.0294117647058823,0.0462999079771112,116
WP012024,EWINIAR,2024,20,534453.118686676,0.0034580054771221,1,0.0052083333333333,6,0.0254237288135593,534453.118686676,1,6,27,0.012123477089167,0.1224489795918367,0.0294117647058823,0.0422980958573417,117
